,date,season,neutral,playoff,home_team,away_team,home_pre,away_pre,home_prob,away_prob,home_post,away_post,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score
652,8/16/2020,2020,0,s,HOU,SEA,1560.646,1465.744,0.665,0.335,1561.457,1464.933,Lance McCullers Jr.,Justus Sheffield,52.105,47.956,-11.106,5.779,3,2
658,8/15/2020,2020,0,s,ANA,LAD,1478.048,1574.825,0.397,0.603,1477.013,1575.86,Andrew Heaney,Walker Buehler,51.188,56.895,5.175,21.873,5,6
662,8/15/2020,2020,0,s,HOU,SEA,1559.827,1466.563,0.663,0.337,1560.646,1465.744,Cristian Javier,Nick Margevicius,48.526,41.596,-27.182,-23.325,2,1
676,8/14/2020,2020,0,s,ANA,LAD,1479.734,1573.138,0.401,0.599,1478.048,1574.825,Patrick Sandoval,Clayton Kershaw,49.735,54.469,-1.82,11.436,4,7
677,8/14/2020,2020,0,s,HOU,SEA,1557.091,1469.299,0.656,0.344,1559.827,1466.563,Framber Valdez,Nestor Cortes,47.048,45.946,-33.8,-4.737,11,1
694,8/12/2020,2020,0,s,TEX,SEA,1482.882,1471.135,0.551,0.449,1484.718,1469.299,Jordan Lyles,Taijuan Walker,48.254,49.256,-17.662,11.686,7,4
698,8/12/2020,2020,0,s,HOU,SFG,1555.374,1482.841,0.635,0.365,1557.091,1481.124,Zack Greinke,Trevor Cahill,57.432,46.803,15.369,-8.955,5,1
704,8/12/2020,2020,0,s,ANA,OAK,1481.926,1551.189,0.435,0.565,1479.734,1553.381,Griffin Canning,Chris Bassitt,51.43,52.744,5.253,9.411,4,8
708,8/11/2020,2020,0,s,ANA,OAK,1477.987,1555.127,0.424,0.576,1481.926,1551.189,Dylan Bundy,Mike Fiers,53.066,50.211,14.308,-3.887,6,0
709,8/11/2020,2020,0,s,HOU,SFG,1557.279,1480.936,0.641,0.359,1555.374,1482.841,Brandon Bielak,Tyler Anderson,48.436,49.884,-27.205,5.278,6,7
710,8/11/2020,2020,0,s,TEX,SEA,1481.389,1472.628,0.547,0.453,1482.882,1471.135,Mike Minor,Marco Gonzales,53.907,52.217,9.527,25.599,4,2
722,8/10/2020,2020,0,s,ANA,OAK,1476.302,1556.813,0.419,0.581,1477.987,1555.127,Julio Teheran,Sean Manaea,49.52,51.23,-3.77,-0.354,10,9
723,8/10/2020,2020,0,s,TEX,SEA,1485.788,1468.229,0.56,0.44,1481.389,1472.628,Kyle Gibson,Justin Dunn,48.208,46.794,-17.991,0.418,2,10
724,8/10/2020,2020,0,s,HOU,SFG,1556.08,1482.135,0.637,0.363,1557.279,1480.936,Lance McCullers Jr.,Logan Webb,50.621,48.911,-15.699,0.477,6,4
733,8/9/2020,2020,0,s,SEA,COL,1466.273,1503.415,0.481,0.519,1468.229,1501.459,Justus Sheffield,German Marquez,45.963,57.194,-2.388,27.978,5,3
735,8/9/2020,2020,0,s,OAK,HOU,1554.053,1558.84,0.528,0.472,1556.813,1556.08,Jesus Luzardo,Cristian Javier,48.811,50.349,-11.438,-18.189,7,2
737,8/9/2020,2020,0,s,TEX,ANA,1483.559,1478.531,0.542,0.458,1485.788,1476.302,Lance Lynn,Andrew Heaney,60.908,51.796,41.944,6.423,7,3
746,8/8/2020,2020,0,s,SEA,COL,1469.183,1500.505,0.489,0.511,1466.273,1503.415,Nick Margevicius,Ryan Castellani,40.57,47.4,-27.383,-17.462,0,5
752,8/8/2020,2020,0,s,TEX,ANA,1482.025,1480.066,0.537,0.463,1483.559,1478.531,Kolby Allard,Patrick Sandoval,48.27,48.69,-16.346,-7.664,2,0
757,8/8/2020,2020,0,s,OAK,HOU,1552.32,1560.573,0.523,0.477,1554.053,1558.84,Frankie Montas,Framber Valdez,54.851,46.012,18.485,-38.224,3,1
761,8/7/2020,2020,0,s,SEA,COL,1471.802,1497.886,0.497,0.503,1469.183,1500.505,Yusei Kikuchi,Antonio Senzatela,44.319,46.998,-9.767,-19.324,4,8
764,8/7/2020,2020,0,s,OAK,HOU,1550.993,1561.9,0.519,0.481,1552.32,1560.573,Chris Bassitt,Zack Greinke,51.797,56.917,5.069,13.652,3,2
765,8/7/2020,2020,0,s,TEX,ANA,1480.776,1481.315,0.534,0.466,1482.025,1480.066,Jordan Lyles,Griffin Canning,48.009,51.999,-17.514,7.427,4,3
781,8/6/2020,2020,0,s,SEA,ANA,1475.017,1478.1,0.53,0.47,1471.802,1481.315,Taijuan Walker,Dylan Bundy,49.854,51.622,15.846,7.084,1,6
782,8/6/2020,2020,0,s,OAK,TEX,1549.756,1482.013,0.629,0.371,1550.993,1480.776,Mike Fiers,Mike Minor,50.964,54.393,0.452,12.153,6,4
785,8/5/2020,2020,0,s,SEA,ANA,1473.684,1479.433,0.526,0.474,1475.017,1478.1,Marco Gonzales,Julio Teheran,51.914,49.76,26.074,-1.912,7,6
787,8/5/2020,2020,0,s,OAK,TEX,1548.502,1483.266,0.626,0.374,1549.756,1482.013,Sean Manaea,Kyle Gibson,52.096,47.89,5.007,-18.294,6,4
801,8/4/2020,2020,0,s,SEA,ANA,1475.702,1477.415,0.532,0.468,1473.684,1479.433,Justin Dunn,Andrew Heaney,47.658,51.551,5.638,6.802,3,5
803,8/4/2020,2020,0,s,OAK,TEX,1546.688,1485.081,0.621,0.379,1548.502,1483.266,Jesus Luzardo,Lance Lynn,47.4,60.756,-16.431,42.748,5,1
814,8/3/2020,2020,0,s,SEA,OAK,1479.598,1542.791,0.444,0.556,1475.702,1546.688,Justus Sheffield,Frankie Montas,45.785,54.234,-3.093,16.433,1,11
825,8/2/2020,2020,0,s,SEA,OAK,1480.836,1541.554,0.447,0.553,1479.598,1542.791,Kendall Graveman,Chris Bassitt,44.452,50.904,-9.004,1.638,2,3
827,8/2/2020,2020,0,s,ANA,HOU,1478.507,1563.69,0.413,0.587,1477.415,1564.782,Shohei Ohtani,Josh James,49.066,49.027,-5.095,-25.228,5,6
837,8/1/2020,2020,0,s,SEA,OAK,1482.086,1540.303,0.451,0.549,1480.836,1541.554,Yusei Kikuchi,Mike Fiers,42.749,50.525,-15.691,0.27,2,3
845,8/1/2020,2020,0,s,ANA,HOU,1476.78,1565.416,0.408,0.592,1478.507,1563.69,Griffin Canning,Zack Greinke,51.331,56.484,6.207,10.329,5,4
847,7/31/2020,2020,0,s,SEA,OAK,1479.96,1542.43,0.445,0.555,1482.086,1540.303,Taijuan Walker,Sean Manaea,48.271,52.642,11.87,9.805,5,3
849,7/31/2020,2020,0,s,ANA,HOU,1478.533,1563.664,0.413,0.587,1476.78,1565.416,Matt Andriese,Lance McCullers Jr.,47.128,53.132,-14.338,-6.411,6,9
861,7/30/2020,2020,0,s,ANA,SEA,1481.001,1477.491,0.54,0.46,1478.533,1479.96,Dylan Bundy,Marco Gonzales,51.352,51.271,5.828,26.845,5,8
868,7/29/2020,2020,0,s,ANA,SEA,1483.51,1474.983,0.547,0.453,1481.001,1477.491,Andrew Heaney,Justin Dunn,51.247,48.168,5.678,12.094,7,10
876,7/29/2020,2020,0,s,HOU,LAD,1565.669,1564.625,0.536,0.464,1563.664,1566.629,Cristian Javier,Dustin May,47.4,48.726,-32.619,-16.328,2,4
880,7/29/2020,2020,0,s,TEX,ARI,1485.818,1509.853,0.5,0.5,1487.926,1507.745,Lance Lynn,Madison Bumgarner,59.752,53.29,37.497,6.564,7,4
881,7/29/2020,2020,0,s,OAK,COL,1545.81,1488.951,0.614,0.386,1542.43,1492.331,Frankie Montas,German Marquez,54.413,55.72,18.143,26.53,1,5
883,7/28/2020,2020,0,s,OAK,COL,1549.732,1485.03,0.625,0.375,1545.81,1488.951,Daniel Mengden,Antonio Senzatela,48.985,45.355,-7.858,-22.22,3,8
